variableMetadata	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	bio	blank	isotopes	adduct	pcgroup	fold	tstat	pvalue	blank_mean	blank_sd	blank_CV	sample_mean	sample_sd	sample_CV	blankMean_over_sampleMean	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M195.0485T309	195.0484957	195.0474663	195.0515838	309.2363494	304.7831707	309.8280452	206	205	1	[120][M+1]-		93	182.580734	-17.84660947	0	7691.201851	7925.945855	1.030521108	3.162341082	0.404605222	0.127944839	2432.122801	1674899.699	55680.35878	0.033243996	0.25983069
M195.0516T279	195.0515838	195.0508439	195.054672	278.6831812	278.1284404	286.1920093	196	195	0			454	513.8332195	-14.81454071	0	8088.102007	10129.52152	1.252397845	3.551392922	0.57530899	0.161995308	2277.444987	3993545.143	172139.9061	0.043104535	0.266085083
M195.0516T255	195.0515838	195.0505544	195.0529026	255.182044	237.4123504	263.1608148	138	136	0			56	658.560559	-12.83106356	0	1452.843315	3010.917738	2.072431148	2.884566256	0.494058294	0.171276459	503.660927	893624.275	42950.44536	0.048063203	0.280617685
M195.0485T365	195.0484957	195.0477558	195.0536426	365.0805364	363.7386903	366.0443283	92	92	0	[119][M+1]-		970	177.3965939	-6.759689947	1.35E-10	1714.002175	2006.51199	1.170658952	1.605171838	1.09953588	0.684995746	1067.799805	308634.1448	91929.45217	0.297858982	0.434833331
M195.0619T296	195.0618781	195.0611381	195.065996	296.4239469	287.9915619	313.4699152	169	163	0			3071	8.397736433	-5.008409099	1.13E-06	87091.29829	100970.5264	1.15936412	2.41123241	0.775857339	0.321767962	36118.99787	75393.13299	12921.0019	0.171381681	0.532625063
M195.077T306	195.076951	195.0714331	195.077321	305.5781623	296.0590367	323.9718869	88	85	0			1987	42.57409338	-10.79842935	0	3771.310692	5310.37547	1.408098113	2.180831236	0.508401473	0.233122795	1729.299649	79854.54432	10250.35266	0.128362797	0.550623105
M195.102T522	195.1020336	195.1012933	195.1030634	521.9425231	521.1665022	528.9750099	81	79	0		[M-H-CO2]- 240.099	78	49.33376435	-8.980619925	0	479.0482782	1096.809385	2.289559183	1.023848668	0.737694079	0.720510855	467.8897311	31939.52143	6827.680785	0.213769038	0.296690934
M195.9264T68	195.9264065	195.9225522	195.92877	67.57969562	60.76614467	69.76229297	22	22	0			722	23.94920486	-12.23111706	0	1893.759239	4291.230155	2.265985066	1.635147443	0.569569659	0.348329235	1158.15809	63593.95829	17662.41412	0.277737298	0.797341335
M196.0273T62	196.0272593	196.0272593	196.0280054	61.52668482	60.84380781	62.6953928	210	210	0			241	517.2455181	-22.7162813	0	445.7619983	1146.574392	2.572167203	2.46183449	0.189221699	0.076862072	181.0690361	242345.397	15204.8714	0.0627405	0.816273862
M196.0542T297	196.0542272	196.046675	196.0549735	296.5115564	292.4596034	309.906945	282	205	0	[124][M+1]-		103	564.5207385	-16.58013927	0	1328.140547	2486.082528	1.871851992	2.854794969	0.464827114	0.162823292	465.2315004	837454.708	49982.2716	0.059683552	0.366554142
M196.0532T56	196.0531899	196.0518615	196.0563019	55.91431727	52.33907416	57.86884277	192	191	0	[123][M+1]-		70	38.94483515	-25.95288761	0	3825.338827	5053.407461	1.321035257	2.296775095	0.27815636	0.121107356	1665.526083	145233.4999	10917.16579	0.075169749	0.620686897
M196.0612T400	196.0611977	196.0580855	196.0611977	400.457115	399.0030527	401.2739196	106	106	0			1174	52.41307135	-12.98881291	0	735.2527475	1648.368122	2.241906783	1.405476747	0.712291182	0.506796846	523.1340532	40172.16138	6596.483268	0.164205336	0.324006232
M196.0726T60	196.0726094	196.0705345	196.0746844	59.65698708	54.20181257	60.60912088	210	153	1			3804	36.37601745	-15.11660251	0	1458.367573	2899.457258	1.988152583	1.802286066	0.332977892	0.184753075	809.1765237	35039.34332	5643.790505	0.161070099	0.871812822
M196.9222T67	196.9222354	196.9191027	196.9253681	67.13842517	59.5928793	78.77168386	228	178	0		[M+Cl]- 161.954 [M-H]- 197.93	8	7.443736294	-13.69966862	0	77555.50563	53925.56536	0.69531576	2.846763132	0.404345953	0.142037091	27243.39962	640276.2878	144193.9967	0.225205898	1.585542883
M197.0212T59	197.0211821	197.0201371	197.0243172	59.30396205	58.45633542	67.45941392	149	147	1			3805	19.38458972	-4.79412813	3.09E-06	10726.34733	10127.95126	0.944212503	1.966593776	0.681139854	0.346355136	5454.277068	186384.3771	16312.22949	0.087519296	0.252686584
M197.0298T246	197.0298352	197.0298352	197.0319254	245.765358	244.2129241	247.7614738	81	81	0		[M+Cl]- 162.058	37	12.03915625	-9.877322314	0	10586.74693	11763.95045	1.111195963	2.085641499	0.52819387	0.253252474	5076.014709	112908.0041	22463.49225	0.19895394	0.785595246
